select state, p_date, sum(newcomer) as newcomer, sum(freshout) as freshout from payments group by state, p_date order by state, p_date;
+-------+------------+----------+----------+
| state | p_date     | newcomer | freshout |
| AM    | 2015-08-01 |     1613 |    -7151 |
| AM    | 2015-09-01 |    13857 |    -7310 |
| AM    | 2015-10-01 |    11070 |    -7499 |
| AM    | 2015-11-01 |     3165 |    -2774 |
| AM    | 2015-12-01 |     4654 |    -7167 |
| AM    | 2016-01-01 |    11949 |     -673 |
| AM    | 2016-02-01 |      371 |    -5094 |
| AM    | 2016-03-01 |     9369 |    -1304 |
| AM    | 2016-04-01 |     2468 |    -1759 |
| AM    | 2016-05-01 |      850 |    -2965 |
| AM    | 2016-06-01 |     1672 |    -5019 |
| AM    | 2016-07-01 |     7133 |    -1758 |
| AM    | 2016-08-01 |      775 |    -9465 |
| AM    | 2016-09-01 |     8393 |    -3154 |
| AM    | 2016-10-01 |     1300 |    -8197 |
| AM    | 2016-11-01 |     3667 |    -4821 |
| AM    | 2016-12-01 |     2499 |    -9330 |
| AM    | 2017-01-01 |    14624 |    -2052 |
| AM    | 2017-02-01 |     2269 |  -383253 |
| AP    | 2011-01-01 |    46414 |     -707 |
| AP    | 2011-02-01 |     4640 |     -127 |
| AP    | 2011-03-01 |      104 |     -109 |
| AP    | 2011-04-01 |      100 |     -152 |
| AP    | 2011-05-01 |      112 |     -104 |
| AP    | 2011-06-01 |       78 |      -93 |
| AP    | 2011-07-01 |      118 |     -657 |
| AP    | 2011-08-01 |      166 |     -344 |
| AP    | 2011-09-01 |     2541 |     -452 |
| AP    | 2011-10-01 |      183 |     -132 |
| AP    | 2011-11-01 |      678 |     -109 |
| AP    | 2011-12-01 |      170 |     -455 |
| AP    | 2012-01-01 |      685 |     -141 |
| AP    | 2012-02-01 |      584 |     -135 |
| AP    | 2012-03-01 |      184 |     -368 |
| AP    | 2012-04-01 |      166 |     -676 |
| AP    | 2012-05-01 |     1468 |     -198 |
| AP    | 2012-06-01 |      101 |     -172 |
| AP    | 2012-07-01 |      916 |     -160 |
| AP    | 2012-08-01 |      439 |     -422 |
| AP    | 2012-09-01 |      140 |     -140 |
| AP    | 2012-10-01 |      135 |      -85 |
| AP    | 2012-11-01 |      152 |      -68 |
| AP    | 2012-12-01 |      109 |     -325 |
| AP    | 2013-01-01 |      124 |     -324 |
| AP    | 2013-02-01 |       35 |     -240 |
| AP    | 2013-03-01 |      988 |     -852 |
| AP    | 2013-04-01 |      615 |    -1952 |
| AP    | 2013-05-01 |     1863 |     -752 |
| AP    | 2013-06-01 |      138 |      -82 |
| AP    | 2013-07-01 |      675 |     -317 |
| AP    | 2013-08-01 |      383 |     -190 |
| AP    | 2013-09-01 |      147 |     -139 |
| AP    | 2013-10-01 |      109 |     -380 |
| AP    | 2013-11-01 |      916 |     -144 |
| AP    | 2013-12-01 |      786 |     -336 |
| AP    | 2014-01-01 |      330 |     -181 |
| AP    | 2014-02-01 |      258 |     -878 |
| AP    | 2014-03-01 |     1008 |     -174 |
| AP    | 2014-04-01 |      432 |     -947 |
| AP    | 2014-05-01 |      585 |     -138 |
| AP    | 2014-06-01 |      951 |     -624 |
| AP    | 2014-07-01 |     2392 |     -713 |
| AP    | 2014-08-01 |      187 |      -85 |
| AP    | 2014-09-01 |      222 |      -87 |
| AP    | 2014-10-01 |      174 |      -93 |
| AP    | 2014-11-01 |      344 |     -135 |
| AP    | 2014-12-01 |       92 |     -128 |
| AP    | 2015-01-01 |       46 |      -43 |
| AP    | 2015-02-01 |      104 |      -70 |
| AP    | 2015-03-01 |       37 |     -398 |
| AP    | 2015-04-01 |       93 |      -81 |
| AP    | 2015-05-01 |       42 |     -375 |
| AP    | 2015-06-01 |      105 |     -109 |
| AP    | 2015-07-01 |     1194 |     -197 |
| AP    | 2015-08-01 |       91 |    -1119 |
| AP    | 2015-09-01 |     4484 |     -747 |
| AP    | 2015-10-01 |     1889 |    -1361 |
| AP    | 2015-11-01 |     1173 |     -398 |
| AP    | 2015-12-01 |      952 |    -1080 |
| AP    | 2016-01-01 |     3067 |     -120 |
